[CH3:4][O:5][C:6]([CH3:7])([CH3:8])[CH2:9][CH:2]([C:10](=[O:11])[OH:12])[N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:18](=[O:19])[O:20][CH2:21][CH3:22])[c:11]1[c:12]([cH:13][cH:14][cH:15][cH:16]1)[F:17].[BrH:3]	[CH3:4][O:5][C:6]([CH3:7])([CH3:8])[CH2:9][CH:2]([Br:3])[C:10](=[O:11])[OH:12].[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[c:12]([cH:13][cH:14][cH:15][cH:16]1)[F:17])[C:18](=[O:19])[O:20][CH2:21][CH3:22]	[CH3:4][O:5][C:6]([CH3:7])([CH3:8])[CH2:9][CH:2]([Br:3])[C:10](=[O:11])[OH:12].[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[c:12]([cH:13][cH:14][cH:15][cH:16]1)[F:17])[C:18](=[O:19])[O:20][CH2:21][CH3:22]>>[CH3:4][O:5][C:6]([CH3:7])([CH3:8])[CH2:9][CH:2]([C:10](=[O:11])[OH:12])[N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:18](=[O:19])[O:20][CH2:21][CH3:22])[c:11]1[c:12]([cH:13][cH:14][cH:15][cH:16]1)[F:17].[BrH:3]	0
[CH3:4][N:5]([CH3:6])[C:7](=[O:8])[CH:2]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:20]#[N:21])[c:11]2[cH:12][cH:13][c:14]([cH:15][cH:16]2)[O:17][CH2:18][CH3:19].[ClH:3]	[CH3:4][N:5]([CH3:6])[C:7](=[O:8])[CH:2]([Cl:3])[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1.[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[cH:12][cH:13][c:14]([cH:15][cH:16]1)[O:17][CH2:18][CH3:19])[C:20]#[N:21]	[CH3:4][N:5]([CH3:6])[C:7](=[O:8])[CH:2]([Cl:3])[c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1.[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[cH:12][cH:13][c:14]([cH:15][cH:16]1)[O:17][CH2:18][CH3:19])[C:20]#[N:21]>>[CH3:4][N:5]([CH3:6])[C:7](=[O:8])[CH:2]([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:20]#[N:21])[c:11]2[cH:12][cH:13][c:14]([cH:15][cH:16]2)[O:17][CH2:18][CH3:19].[ClH:3]	0
[CH3:4][CH2:5][n:6]1[c:7]([n:8][n:9][c:10]1[CH2:2][N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:19]#[N:20])[c:11]2[c:12]([cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH3:18])[CH3:11].[ClH:3]	[CH3:4][CH2:5][n:6]1[c:7]([n:8][n:9][c:10]1[CH2:2][Cl:3])[CH3:11].[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[c:12]([cH:13][cH:14][cH:15][cH:16]1)[CH2:17][CH3:18])[C:19]#[N:20]	[CH3:4][CH2:5][n:6]1[c:7]([n:8][n:9][c:10]1[CH2:2][Cl:3])[CH3:11].[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[c:12]([cH:13][cH:14][cH:15][cH:16]1)[CH2:17][CH3:18])[C:19]#[N:20]>>[CH3:4][CH2:5][n:6]1[c:7]([n:8][n:9][c:10]1[CH2:2][N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:19]#[N:20])[c:11]2[c:12]([cH:13][cH:14][cH:15][cH:16]2)[CH2:17][CH3:18])[CH3:11].[ClH:3]	0
[CH3:4][N:5]1[C:6](=[O:7])[c:8]2[c:9]([C:17]1=[O:18])[cH:10][c:11]([cH:12][cH:13]2)[NH:14][C:15](=[O:16])[CH2:2][N:1]([CH2:7][CH:5]([F:4])[F:6])[C:8]3=[CH:9][C:10](=[O:11])[O:12][CH2:13]3.[ClH:3]	[CH3:4][N:5]1[C:6](=[O:7])[c:8]2[c:9]([cH:10][c:11]([cH:12][cH:13]2)[NH:14][C:15](=[O:16])[CH2:2][Cl:3])[C:17]1=[O:18].[F:4][CH:5]([F:6])[CH2:7][NH:1][C:8]1=[CH:9][C:10](=[O:11])[O:12][CH2:13]1	[CH3:4][N:5]1[C:6](=[O:7])[c:8]2[c:9]([cH:10][c:11]([cH:12][cH:13]2)[NH:14][C:15](=[O:16])[CH2:2][Cl:3])[C:17]1=[O:18].[F:4][CH:5]([F:6])[CH2:7][NH:1][C:8]1=[CH:9][C:10](=[O:11])[O:12][CH2:13]1>>[CH3:4][N:5]1[C:6](=[O:7])[c:8]2[c:9]([C:17]1=[O:18])[cH:10][c:11]([cH:12][cH:13]2)[NH:14][C:15](=[O:16])[CH2:2][N:1]([CH2:7][CH:5]([F:4])[F:6])[C:8]3=[CH:9][C:10](=[O:11])[O:12][CH2:13]3.[ClH:3]	0
[CH3:4][CH2:5][n:6]1[c:7]([n:8][n:9][c:10]1[CH2:2][NH:1][CH:4]=[C:5]2[CH2:6][c:7]3[c:8]([C:13]2=[O:14])[cH:9][cH:10][cH:11][cH:12]3)[CH3:11].[ClH:3]	[CH3:4][CH2:5][n:6]1[c:7]([n:8][n:9][c:10]1[CH2:2][Cl:3])[CH3:11].[NH2:1][CH:4]=[C:5]1[CH2:6][c:7]2[c:8]([cH:9][cH:10][cH:11][cH:12]2)[C:13]1=[O:14]	[CH3:4][CH2:5][n:6]1[c:7]([n:8][n:9][c:10]1[CH2:2][Cl:3])[CH3:11].[NH2:1][CH:4]=[C:5]1[CH2:6][c:7]2[c:8]([cH:9][cH:10][cH:11][cH:12]2)[C:13]1=[O:14]>>[CH3:4][CH2:5][n:6]1[c:7]([n:8][n:9][c:10]1[CH2:2][NH:1][CH:4]=[C:5]2[CH2:6][c:7]3[c:8]([C:13]2=[O:14])[cH:9][cH:10][cH:11][cH:12]3)[CH3:11].[ClH:3]	0
[F:4][c:5]1[cH:6][cH:7][c:8]([cH:9][cH:10]1)-[c:11]2[cH:12][n:13][c:14]([o:15]2)[CH2:2][NH:1][C:9]3=[C:8]([C:6]([N:5]([C:10]34[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]4)[CH3:4])=[O:7])[C:16]#[N:17].[ClH:3]	[F:4][c:5]1[cH:6][cH:7][c:8]([cH:9][cH:10]1)-[c:11]2[cH:12][n:13][c:14]([CH2:2][Cl:3])[o:15]2.[CH3:4][N:5]1[C:6](=[O:7])[C:8](=[C:9]([NH2:1])[C:10]12[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]2)[C:16]#[N:17]	[F:4][c:5]1[cH:6][cH:7][c:8]([cH:9][cH:10]1)-[c:11]2[cH:12][n:13][c:14]([CH2:2][Cl:3])[o:15]2.[CH3:4][N:5]1[C:6](=[O:7])[C:8](=[C:9]([NH2:1])[C:10]12[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]2)[C:16]#[N:17]>>[F:4][c:5]1[cH:6][cH:7][c:8]([cH:9][cH:10]1)-[c:11]2[cH:12][n:13][c:14]([o:15]2)[CH2:2][NH:1][C:9]3=[C:8]([C:6]([N:5]([C:10]34[CH2:11][CH2:12][CH2:13][CH2:14][CH2:15]4)[CH3:4])=[O:7])[C:16]#[N:17].[ClH:3]	0
[CH3:4][O:5][c:6]1[n:7][c:8]([cH:9][n:10][cH:11]1)[CH2:2][NH:1][C:4](=[CH:5][S:6](=[O:7])(=[O:8])[F:9])[c:10]2[cH:11][cH:12][c:13]([cH:14][cH:15]2)[F:16].[ClH:3]	[CH3:4][O:5][c:6]1[n:7][c:8]([cH:9][n:10][cH:11]1)[CH2:2][Cl:3].[NH2:1]/[C:4](=[CH:5]/[S:6](=[O:7])(=[O:8])[F:9])/[c:10]1[cH:11][cH:12][c:13]([cH:14][cH:15]1)[F:16]	[CH3:4][O:5][c:6]1[n:7][c:8]([cH:9][n:10][cH:11]1)[CH2:2][Cl:3].[NH2:1]/[C:4](=[CH:5]/[S:6](=[O:7])(=[O:8])[F:9])/[c:10]1[cH:11][cH:12][c:13]([cH:14][cH:15]1)[F:16]>>[CH3:4][O:5][c:6]1[n:7][c:8]([cH:9][n:10][cH:11]1)[CH2:2][NH:1][C:4](=[CH:5][S:6](=[O:7])(=[O:8])[F:9])[c:10]2[cH:11][cH:12][c:13]([cH:14][cH:15]2)[F:16].[ClH:3]	0
[CH3:4][O:5][c:6]1[c:7]([cH:8][n:9][c:10]([cH:11]1)[CH2:2][N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:18]#[N:19])[c:11]2[c:12]([cH:13][cH:14][cH:15][cH:16]2)[F:17])[CH3:12].[ClH:3]	[CH3:4][O:5][c:6]1[c:7]([cH:8][n:9][c:10]([cH:11]1)[CH2:2][Cl:3])[CH3:12].[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[c:12]([cH:13][cH:14][cH:15][cH:16]1)[F:17])[C:18]#[N:19]	[CH3:4][O:5][c:6]1[c:7]([cH:8][n:9][c:10]([cH:11]1)[CH2:2][Cl:3])[CH3:12].[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[c:12]([cH:13][cH:14][cH:15][cH:16]1)[F:17])[C:18]#[N:19]>>[CH3:4][O:5][c:6]1[c:7]([cH:8][n:9][c:10]([cH:11]1)[CH2:2][N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:18]#[N:19])[c:11]2[c:12]([cH:13][cH:14][cH:15][cH:16]2)[F:17])[CH3:12].[ClH:3]	0
[CH3:4][n:5]1[n:6][n:7][cH:8][c:9]1[CH2:10][CH2:2][N:1]2[CH2:7][CH2:6][C:5]([CH:9]=[CH:8]2)=[O:4].[BrH:3]	[CH3:4][n:5]1[n:6][n:7][cH:8][c:9]1[CH2:10][CH2:2][Br:3].[O:4]=[C:5]1[CH2:6][CH2:7][NH:1][CH:8]=[CH:9]1	[CH3:4][n:5]1[n:6][n:7][cH:8][c:9]1[CH2:10][CH2:2][Br:3].[O:4]=[C:5]1[CH2:6][CH2:7][NH:1][CH:8]=[CH:9]1>>[CH3:4][n:5]1[n:6][n:7][cH:8][c:9]1[CH2:10][CH2:2][N:1]2[CH2:7][CH2:6][C:5]([CH:9]=[CH:8]2)=[O:4].[BrH:3]	0
[CH3:4][c:5]1[cH:6][c:7]([n:8][n:9]1[CH3:10])[C:11](=[O:12])[CH2:2][NH:1][C:5]([CH3:4])=[C:6]2[C:7](=[O:8])[O:9][CH:10]=[C:11]2[C:12]([F:13])([F:14])[F:15].[ClH:3]	[CH3:4][c:5]1[cH:6][c:7]([n:8][n:9]1[CH3:10])[C:11](=[O:12])[CH2:2][Cl:3].[CH3:4][C:5](=[C:6]1[C:7](=[O:8])[O:9][CH:10]=[C:11]1[C:12]([F:13])([F:14])[F:15])[NH2:1]	[CH3:4][c:5]1[cH:6][c:7]([n:8][n:9]1[CH3:10])[C:11](=[O:12])[CH2:2][Cl:3].[CH3:4][C:5](=[C:6]1[C:7](=[O:8])[O:9][CH:10]=[C:11]1[C:12]([F:13])([F:14])[F:15])[NH2:1]>>[CH3:4][c:5]1[cH:6][c:7]([n:8][n:9]1[CH3:10])[C:11](=[O:12])[CH2:2][NH:1][C:5]([CH3:4])=[C:6]2[C:7](=[O:8])[O:9][CH:10]=[C:11]2[C:12]([F:13])([F:14])[F:15].[ClH:3]	0
[CH3:4][O:5][CH:6]1[CH2:7][CH:8]([CH2:9]1)[CH2:2][N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:21]#[N:22])[c:11]2[cH:12][c:13]([cH:14][c:15]([cH:16]2)[O:17][CH3:18])[O:19][CH3:20].[BrH:3]	[CH3:4][O:5][CH:6]1[CH2:7][CH:8]([CH2:2][Br:3])[CH2:9]1.[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[cH:12][c:13]([cH:14][c:15]([cH:16]1)[O:17][CH3:18])[O:19][CH3:20])[C:21]#[N:22]	[CH3:4][O:5][CH:6]1[CH2:7][CH:8]([CH2:2][Br:3])[CH2:9]1.[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[cH:12][c:13]([cH:14][c:15]([cH:16]1)[O:17][CH3:18])[O:19][CH3:20])[C:21]#[N:22]>>[CH3:4][O:5][CH:6]1[CH2:7][CH:8]([CH2:9]1)[CH2:2][N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:21]#[N:22])[c:11]2[cH:12][c:13]([cH:14][c:15]([cH:16]2)[O:17][CH3:18])[O:19][CH3:20].[BrH:3]	0
[CH3:4][CH:5]1[CH2:6][CH2:7][C:2](=[CH:8][N:9]1[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[NH:1][C:4]2=[CH:5][S:6](=[O:7])(=[O:8])[c:9]3[c:10]2[cH:11][cH:12][cH:13][cH:14]3.[BrH:3]	[CH3:4][CH:5]1[CH2:6][CH2:7][C:2](=[CH:8][N:9]1[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[Br:3].[NH2:1][C:4]1=[CH:5][S:6](=[O:7])(=[O:8])[c:9]2[c:10]1[cH:11][cH:12][cH:13][cH:14]2	[CH3:4][CH:5]1[CH2:6][CH2:7][C:2](=[CH:8][N:9]1[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[Br:3].[NH2:1][C:4]1=[CH:5][S:6](=[O:7])(=[O:8])[c:9]2[c:10]1[cH:11][cH:12][cH:13][cH:14]2>>[CH3:4][CH:5]1[CH2:6][CH2:7][C:2](=[CH:8][N:9]1[C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[NH:1][C:4]2=[CH:5][S:6](=[O:7])(=[O:8])[c:9]3[c:10]2[cH:11][cH:12][cH:13][cH:14]3.[BrH:3]	0
[ClH:3].[CH2:2]([c:4]1[cH:5][c:6]2[c:7]([cH:8][cH:9]1)[cH:10][n:11][cH:12][cH:13]2)[NH:1][C:10]3=[C:9]([CH2:8][CH2:7][C:5]3([CH3:4])[CH3:6])[C:11]#[N:12]	[Cl:3][CH2:2][c:4]1[cH:5][c:6]2[c:7]([cH:8][cH:9]1)[cH:10][n:11][cH:12][cH:13]2.[CH3:4][C:5]1([CH3:6])[CH2:7][CH2:8][C:9](=[C:10]1[NH2:1])[C:11]#[N:12]	[Cl:3][CH2:2][c:4]1[cH:5][c:6]2[c:7]([cH:8][cH:9]1)[cH:10][n:11][cH:12][cH:13]2.[CH3:4][C:5]1([CH3:6])[CH2:7][CH2:8][C:9](=[C:10]1[NH2:1])[C:11]#[N:12]>>[ClH:3].[CH2:2]([c:4]1[cH:5][c:6]2[c:7]([cH:8][cH:9]1)[cH:10][n:11][cH:12][cH:13]2)[NH:1][C:10]3=[C:9]([CH2:8][CH2:7][C:5]3([CH3:4])[CH3:6])[C:11]#[N:12]	0
[ClH:3].[CH2:2]([C:4](=[O:5])[NH:6][CH2:7][c:8]1[cH:9][cH:10][c:11]([cH:12][cH:13]1)[S:14](=[O:15])(=[O:16])[N:17]2[CH2:18][CH2:19][O:20][CH2:21][CH2:22]2)[N:1]=[c:12]3[cH:11][cH:10][c:9]4-[c:14]([cH:13]3)[n:15][n:7]([CH:5]([CH3:4])[CH3:6])[cH:8]4	[Cl:3][CH2:2][C:4](=[O:5])[NH:6][CH2:7][c:8]1[cH:9][cH:10][c:11]([cH:12][cH:13]1)[S:14](=[O:15])(=[O:16])[N:17]2[CH2:18][CH2:19][O:20][CH2:21][CH2:22]2.[CH3:4][CH:5]([CH3:6])[n:7]1[cH:8][c:9]-2[cH:10][cH:11][c:12](=[NH:1])[cH:13][c:14]2[nH:15]1	[Cl:3][CH2:2][C:4](=[O:5])[NH:6][CH2:7][c:8]1[cH:9][cH:10][c:11]([cH:12][cH:13]1)[S:14](=[O:15])(=[O:16])[N:17]2[CH2:18][CH2:19][O:20][CH2:21][CH2:22]2.[CH3:4][CH:5]([CH3:6])[n:7]1[cH:8][c:9]-2[cH:10][cH:11][c:12](=[NH:1])[cH:13][c:14]2[nH:15]1>>[ClH:3].[CH2:2]([C:4](=[O:5])[NH:6][CH2:7][c:8]1[cH:9][cH:10][c:11]([cH:12][cH:13]1)[S:14](=[O:15])(=[O:16])[N:17]2[CH2:18][CH2:19][O:20][CH2:21][CH2:22]2)[N:1]=[c:12]3[cH:11][cH:10][c:9]4-[c:14]([cH:13]3)[n:15][n:7]([CH:5]([CH3:4])[CH3:6])[cH:8]4	0
[CH3:4][CH:5]([CH3:6])[CH:2]([C:7](=[O:8])[N:9]1[CH2:10][CH2:11][CH2:12][CH:13]([CH2:14]1)[C:15](=[O:16])[NH2:17])[N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:20]#[N:21])[c:11]2[c:12]([cH:13][cH:14][c:15]([cH:16]2)[CH3:17])[O:18][CH3:19].[BrH:3]	[CH3:4][CH:5]([CH3:6])[CH:2]([Br:3])[C:7](=[O:8])[N:9]1[CH2:10][CH2:11][CH2:12][CH:13]([CH2:14]1)[C:15](=[O:16])[NH2:17].[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[c:12]([cH:13][cH:14][c:15]([cH:16]1)[CH3:17])[O:18][CH3:19])[C:20]#[N:21]	[CH3:4][CH:5]([CH3:6])[CH:2]([Br:3])[C:7](=[O:8])[N:9]1[CH2:10][CH2:11][CH2:12][CH:13]([CH2:14]1)[C:15](=[O:16])[NH2:17].[CH3:4][CH2:5][O:6][C:7](=[O:8])[C:9](=[CH:10][NH:1][c:11]1[c:12]([cH:13][cH:14][c:15]([cH:16]1)[CH3:17])[O:18][CH3:19])[C:20]#[N:21]>>[CH3:4][CH:5]([CH3:6])[CH:2]([C:7](=[O:8])[N:9]1[CH2:10][CH2:11][CH2:12][CH:13]([CH2:14]1)[C:15](=[O:16])[NH2:17])[N:1]([CH:10]=[C:9]([C:7]([O:6][CH2:5][CH3:4])=[O:8])[C:20]#[N:21])[c:11]2[c:12]([cH:13][cH:14][c:15]([cH:16]2)[CH3:17])[O:18][CH3:19].[BrH:3]	0
[CH3:4][C:5]([CH3:6])([CH3:7])[O:8][C:9](=[O:10])[N:11]1[CH2:12][CH:13]2[CH2:14][CH2:15][CH:16]1[CH:17]([CH2:2][NH:1][C:9]3=[C:8]([C:6]([O:5][CH3:4])=[O:7])[S:16]([c:11]4[c:10]3[cH:15][cH:14][cH:13][cH:12]4)(=[O:17])=[O:18])[CH2:18]2.[BrH:3]	[CH3:4][C:5]([CH3:6])([CH3:7])[O:8][C:9](=[O:10])[N:11]1[CH2:12][CH:13]2[CH2:14][CH2:15][CH:16]1[CH:17]([CH2:2][Br:3])[CH2:18]2.[CH3:4][O:5][C:6](=[O:7])[C:8]1=[C:9]([NH2:1])[c:10]2[c:11]([cH:12][cH:13][cH:14][cH:15]2)[S:16]1(=[O:17])=[O:18]	[CH3:4][C:5]([CH3:6])([CH3:7])[O:8][C:9](=[O:10])[N:11]1[CH2:12][CH:13]2[CH2:14][CH2:15][CH:16]1[CH:17]([CH2:2][Br:3])[CH2:18]2.[CH3:4][O:5][C:6](=[O:7])[C:8]1=[C:9]([NH2:1])[c:10]2[c:11]([cH:12][cH:13][cH:14][cH:15]2)[S:16]1(=[O:17])=[O:18]>>[CH3:4][C:5]([CH3:6])([CH3:7])[O:8][C:9](=[O:10])[N:11]1[CH2:12][CH:13]2[CH2:14][CH2:15][CH:16]1[CH:17]([CH2:2][NH:1][C:9]3=[C:8]([C:6]([O:5][CH3:4])=[O:7])[S:16]([c:11]4[c:10]3[cH:15][cH:14][cH:13][cH:12]4)(=[O:17])=[O:18])[CH2:18]2.[BrH:3]	0
